Nama Perusahaan,Alamat,Kawasan/Kecamatan
PT.    Tunas Perkasa,"Indonesia, Kp. Kelapa Ds. Segara, Makmur Kec. Tarumajaya, , 5., CV. Kencana Maju Bersama, , Jl. Raya Bosih kel. Wanasari, Kec.Cibitung, , , /. Gudang ……",Cibitung
PT.,"WELLBEST, ELECTRONIC INDUSTRI, Jl.Trembesi Plot F20 No.18-, 19 Delta Silicon III Lippo, Cikarang Desa Cicau Kec., Cikarang Pusat, , 2., PT., PRAWIRA, BINTANG, SEMESTA, , Jl.Samsung 2 C Blok C.3A, Kawasan Industri Jababeka, Desa Mekarmukti, , 3., PT., MASUYA, GRAHA, TRIKENCANA, Jl.Cempaka No.12 Blok F-I, Rt.003/002 Kel. Jatimulya, Tambun Selatan, , 4., PT.",Jababeka
PT. JAGAD KARIMBANUSA,"EJIP Industrial Park Plot 9 M, Desa Sukaresmi Cikarang, Selatan, , 6., PT. ARLENE JAYAMANDIRI, Jl.Jababeka II G TOB Blok C, No.16 V Ds. Pasirgombong, Cikarang Utara, , 7., PT., WIRA, LOGITAMA, SAKSAMA, Kawasan Industri MM2100, Jl.Sumatera Blok C1 Desa, Gandasari Cikarang Barat, , 8., PT. MULTIPAR, Jl., Raya, Industri, Pasir, Gombong Blok Kramat No., 10 Ds. Pasir Gombong Kec., Cikarang Utara, , 9., PT. IRON WARE WORKS, INDONESIA, Jl. Industri Selatan Blok EE, 2G, Jababeka 2 Ds. Pasir, Sari kec. Cikarang Selatan, , 10., AJN, Jl. Industri Selatan 1 blok 3, Kawasan Industri Hyundai, Kec. Cikarang Selatan, , 11., PT., GANESHA, JAYA, MANDIRI, Jl. Industri Selatan 2 No. 19, Ds. Pasir Sari Kec. Cikarang, Selatan, , 12., PT. KAO INDONESIA, Jl. Science Boulevard Ds., Jayamukti, Kec., Cikarang, Pusat, , 13., PT. GUDANG SASA INTI, Desa, Jayamukti, Kec., Cikarang Pusat, , 14., PT., WAHANA, PRESTASI, LOGISTIK, Griya Hegar Asri Blok A2 No., 12, Ds., Hegarmukti, Kec.Cikarang Pusat, , 15., PT. AJE, Kawasan DelataSilicon III Ds., Sukamahi, Kec., Cikarang, Pusat, , , , R A H A S I A, , , R A H A S I A, 53, , 1, 2, 3, 4, 16., PT. PHILIP MORIS, Kawasan, Deltasilicon, Ds., Cicau Kec. Cikarang Pusat, , 17., PT. HAVI INDONESIA, Kawasan DeltaSilicon Ds., Cibatu Kec. Cikarang Selatan, , 18., PT. ASTRA DAIDO STEEL, INDONESIA, Kawasan, Industri, Greend, Land BloK AG No. 12 Ds., Sukamahi, Kec., Cikarang, Pusat, , 19., PT. ISEWAN INDONESIA, Kawasan GIIC Blok AA No., 26 Jl. Anggrek Raya Ds., Sukamahi, Kec., Cikarnag, Pusat, , 20., PT. SRIBOGA FLOUR MILL, Kawasan Industri Ds. Cicau, Kec. Cikarang Pusat, , 21., PT.PARIN, Kawasan Industri Ds. Cicau, Kec. Cikarang Pusat, , 22., PT., TAKATA, AITOMOTIF, SAFYTY, Kawasan Industri Ds. Cicau, Kec. Cikarang Pusat, , 23., PT. SINAR INDAH KENCANA Jl. Kenari II Ds. Cicau Kec., Cikarang Pusat, , 24., PT., SURI, NUSANTARA, JAYA, Jl. Cilangkara Ds. Sukasari, Kec. Serang Baru, , 25., PT. HERO, Jl. Gaharu No. 16 Ds. Cicau, Kec. Cikarang Pusat, , 26., PT. JF SAHABAT, Kawasan Indutri Jababeka II, Jl. Cikarang Baru Raya Ds., Jayamukti, Kec., Cikarnag, Pusat, , 27., PT. MTT, Jl. Inspeksi Kalimlang No. 14, ds. Jayamukti Kec. Cikarang, Pusat, , 28., PT., TUPPERWARE, INDONESIA, Jl. Science No. 10 Kel., Sertajaya Kec. Cikarang timur, , 29., PT., SUMBER, ALFARIA, TRIJAYA, Kawasan Industri Jababeka II, Blok PP No.6 Ds. Pasir Sari, Kec. Ciakrang Selatan, , 30., PT., INDOMARCO, PRISMATAMA, Kawasan Industri Jababeka I, BloK A No. 6-15 Ds. Pasir, Sari Kec. Cikarang Selatan, , 31., PT. MS MANDIRI, Kawasan Industri Jababeka I, BloK A No. 6-15 Ds. Pasir, Sari Kec. Cikarang Selatan, , 32., PT., INDOMARCO, PRISMATAMA, Kawasan Industri Jababeka I, BloK A No. 6-15 Ds. Pasir, Sari Kec. Cikarang Selatan, , 33., PT., INDOMARCO, PRISMATAMA, Kawasan Industri Jababeka I, BloK A No. 6-15 Ds. Pasir, Sari Kec. Cikarang Selatan, , , , R A H A S I A, , , R A H A S I A, 54, , 1, 2, 3, 4, 34., PT., INDOMARCO, PRISMATAMA, Kawasan Industri Jababeka I, BloK A No. 6-15 Ds. Pasir, Sari Kec. Cikarang Selatan, , 35., PT., INDOMARCO, PRISMATAMA, Kawasan Industri Jababeka I, BloK A No. 6-15 Ds. Pasir, Sari Kec. Cikarang Selatan, , 36., PT YCH Distrik Park, Jalan Inspeksi Kalimalang, Sukadanau, Kecamatan, Cikarang Barat, , 37., PT.  ASTER PERSISI KARYA, IND. / Capcon, Jl. Meranti II Blok L5 - 5 / D., Silicon,, Cikarang, Selatan",Jababeka
PT.  CHANDRA NUGERAH,"CEMERLANG, Jl. Akasia II Blok AE No. 25, D. Silicon, Lippo Cikarang -, Bekasi, , 39., PT.  CHO LONG MOTOR, PARTS INDONESIA, , Jl. Meranti I Blok L2 No. 5 & 6, / D. Silicon I, Cikarang, Selatan - Bekasi, , 40., PT.  GSK INDUSTRIAL",Bekasi
PT.  ICHANG HYDRAULIC,"HARDWARE IND ., , , Jl, Angsana I Blok A5 - 1 / D., Silicon, Cikarang Selatan –, Bekasi, , 42.",Cikarang Selatan
PT.  KWANG HWA SHING,"INDUSTRIAL, , KI. Delta Silicon Blok L7 No., 6 - 10, Cikarang Selatan –, Bekasi, , 43., PT.  PREMIER INDUSTRY",Delta Silicon
PT.,", SAN, CHING, INDONESIA, , Jl. Kruing II / KI. D. Silicon I, Blok L7 -  02, Cikarang, Selatan – Bekasi, , 45.",Bekasi
PT.  SAN TSEN DAI,", Jl. Meranti I Blok L2 No. 3 D., Silicon, Lippo Cikarang –, Bekasi, , 46., PT.",Bekasi
PT.,", THREE, STAR, INDONESIA, BIIE Hyundai Blok C2 No. 3A, Cikarang Bekasi, , 48., PT.  ASTRA HONDA MOTOR, , KI., MM2100 Blok AA  No. 1, Cikarang Barat – Bekasi, , 49., PT.  BHAKTI",MM2100
PT.  ASTRA HONDA MOTOR,", , KI. MM2100 Blok AA  No. 1, Cikarang Barat – Bekasi, , 51., PT.  BHAKTI, KI. MM2100",MM2100
